TotalPartsSold,TotalPrice,Date
89,1711.06,11/28/2022
92,1510.34,11/29/2022
89,2464.52,11/30/2022
73,1636.48,12/1/2022
91,1699.62,12/2/2022
41,824.49,12/3/2022
101,1784.58,12/5/2022
83,1633.6,12/6/2022
62,1237.01,12/7/2022
102,1767.62,12/8/2022
91,2166.62,12/9/2022
77,1341.38,12/10/2022
80,1253.46,12/12/2022
87,1449.21,12/13/2022
70,1609.09,12/14/2022
69,1225.32,12/15/2022
112,2574.89,12/16/2022
54,565.08,12/17/2022
55,1380.53,12/19/2022
69,1373.77,12/20/2022
53,996.37,12/21/2022
76,1107.16,12/22/2022
9,80.61,12/23/2022
93,1842.52,12/27/2022
80,1266.62,12/28/2022
49,739.24,12/29/2022
98,1438.45,12/30/2022
88,1268.37,1/3/2023
77,1035.88,1/4/2023
109,1876.07,1/5/2023
118,1695.79,1/6/2023
64,1103.83,1/7/2023
115,3108.5,1/9/2023
71,1409.04,1/10/2023
91,1574.92,1/11/2023
68,1282.05,1/12/2023
85,1558.21,1/13/2023
55,1266.07,1/14/2023
100,2096.66,1/16/2023
79,1071.08,1/17/2023
82,1372.99,1/18/2023
112,1902.95,1/19/2023
70,1049.27,1/20/2023
41,1006.69,1/21/2023
106,2423.83,1/23/2023
34,459.89,1/24/2023
107,2222.39,1/25/2023
105,1652.44,1/26/2023
83,1179.95,1/27/2023
49,853.68,1/28/2023
82,2363.18,1/30/2023
62,1073.07,1/31/2023
42,658.64,2/1/2023
38,769.23,2/2/2023
97,2007.95,2/3/2023
74,828.03,2/4/2023
106,3141.56,2/6/2023
95,1841.95,2/7/2023
93,1622.43,2/8/2023
130,1777.41,2/9/2023
109,1562.54,2/10/2023
102,1897.07,2/11/2023
116,2271.95,2/13/2023
87,1629.18,2/14/2023
71,996.3,2/15/2023
102,2189.19,2/16/2023
109,2549.78,2/17/2023
76,1729.48,2/18/2023
98,1352.93,2/20/2023
118,2329.42,2/21/2023
76,1161.81,2/22/2023
121,2373.12,2/23/2023
102,1491.14,2/24/2023
62,768.7,2/25/2023
112,2951.71,2/27/2023
65,897.11,2/28/2023
142,1922.64,3/1/2023
89,2436.21,3/2/2023
114,1951.74,3/3/2023
64,1820.53,3/4/2023
118,2784.28,3/6/2023
128,2514.21,3/7/2023
113,2371.62,3/8/2023
120,2123.09,3/9/2023
128,2631.74,3/10/2023
110,1653.13,3/11/2023
150,2790.66,3/13/2023
142,3650.4,3/14/2023
78,1349.11,3/15/2023
100,3103.42,3/16/2023
80,1381.59,3/17/2023
68,1739.01,3/18/2023
117,2615.63,3/20/2023
143,3185.2,3/21/2023
102,2732.61,3/22/2023
90,1703.77,3/23/2023
143,3204.19,3/24/2023
87,1791.29,3/25/2023
130,1965.68,3/27/2023
116,2102.5,3/28/2023
108,2013.57,3/29/2023
118,2194.69,3/30/2023
118,2108.52,3/31/2023
91,1894.88,4/1/2023
113,2442.53,4/3/2023
119,1920.27,4/4/2023
89,1416.71,4/5/2023
98,1840.6,4/6/2023
80,1264.73,4/7/2023
115,1993.47,4/10/2023
133,2938.13,4/11/2023
131,2702.11,4/12/2023
114,2051.27,4/13/2023
118,2373.85,4/14/2023
90,1037.4,4/15/2023
132,2841.32,4/17/2023
109,2331.23,4/18/2023
144,3067.97,4/19/2023
131,2811.03,4/20/2023
147,2415.53,4/21/2023
107,2505.46,4/22/2023
102,2111.55,4/24/2023
77,1893.27,4/25/2023
97,1841.56,4/26/2023
120,1747.68,4/27/2023
101,1828.11,4/28/2023
86,1501.23,4/29/2023
144,3167.93,5/1/2023
128,2902.81,5/2/2023
147,3479.44,5/3/2023
180,2210.31,5/4/2023
87,1828.67,5/5/2023
125,2111.57,5/6/2023
114,2410.87,5/8/2023
57,919.03,5/9/2023
47,884.7,5/10/2023
92,1403.88,5/11/2023
130,2727.94,5/12/2023
87,1147.27,5/13/2023
83,1100.71,5/15/2023
128,1739.68,5/16/2023
119,2158.42,5/17/2023
140,2769.71,5/18/2023
92,1453.35,5/19/2023
105,1914.63,5/20/2023
139,2444.48,5/22/2023
122,2338.52,5/23/2023
118,1912.25,5/24/2023
143,1993.91,5/25/2023
98,1603.15,5/26/2023
103,1611.5,5/27/2023
121,1550.61,5/30/2023
105,1933.73,5/31/2023
129,1970.59,6/1/2023
121,2020.52,6/2/2023
76,1591.6,6/3/2023
120,2254.41,6/5/2023
139,3128.86,6/6/2023
81,1303.51,6/7/2023
100,2184.28,6/8/2023
122,2467.39,6/9/2023
67,1171.96,6/10/2023
91,1526.1,6/12/2023
83,1623.2,6/13/2023
88,1729.69,6/14/2023
88,2613.39,6/15/2023
101,1648.35,6/16/2023
66,938.28,6/17/2023
136,2787.19,6/19/2023
110,2290.41,6/20/2023
96,2343.71,6/21/2023
90,1469.47,6/22/2023
81,1433.91,6/23/2023
60,969.12,6/24/2023
101,1505.02,6/26/2023
80,1403.12,6/27/2023
62,1240.99,6/28/2023
106,2586.89,6/29/2023
96,1790.48,6/30/2023
130,1759.88,7/1/2023
162,3034.21,7/5/2023
81,1320.27,7/6/2023
136,2215.9,7/7/2023
111,2295.33,7/8/2023
125,2536.08,7/10/2023
135,2205.91,7/11/2023
112,3757.45,7/12/2023
149,2490.87,7/13/2023
86,1980.28,7/14/2023
87,1559.72,7/15/2023
128,2397.85,7/17/2023
103,1469.15,7/18/2023
92,1825.86,7/19/2023
114,2170.82,7/20/2023
114,3079.75,7/21/2023
153,2251.7,7/22/2023
151,4004.94,7/24/2023
119,2682.09,7/25/2023
133,2243.01,7/26/2023
92,1589.04,7/27/2023
143,3503.25,7/28/2023
92,1745.97,7/29/2023
113,2436.06,7/31/2023
110,1606.13,8/1/2023
102,1830.29,8/2/2023
95,1455.02,8/3/2023
73,1297.36,8/4/2023
89,1978.6,8/5/2023
90,1603.77,8/7/2023
115,2235.74,8/8/2023
147,2299.55,8/9/2023
87,1832.33,8/10/2023
118,1974.83,8/11/2023
122,2175.97,8/12/2023
124,2550.33,8/14/2023
134,2119.34,8/15/2023
141,2482.6,8/16/2023
112,2094.84,8/17/2023
111,2751.83,8/18/2023
95,1422.16,8/19/2023
105,1891.49,8/21/2023
114,2611.24,8/22/2023
88,1737.66,8/23/2023
99,2297.31,8/24/2023
120,1933.74,8/25/2023
84,1280.73,8/26/2023
127,2182.38,8/28/2023
137,2318.28,8/29/2023
120,2036.03,8/30/2023
139,3208.56,8/31/2023
162,3326.51,9/1/2023
146,2121.99,9/2/2023
174,3278.22,9/5/2023
136,2727.21,9/6/2023
126,2740.22,9/7/2023
105,1602.43,9/8/2023
74,1291.96,9/9/2023
95,1398.84,9/11/2023
105,2232.33,9/12/2023
167,3295.53,9/13/2023
118,2825.03,9/14/2023
143,2934.77,9/15/2023
106,1559.74,9/16/2023
126,2514.38,9/18/2023
157,2253.42,9/19/2023
119,1980.36,9/20/2023
120,2392.92,9/21/2023
117,2276.46,9/22/2023
102,1392.35,9/23/2023
136,2325.13,9/25/2023
167,3310.97,9/26/2023
110,1984.63,9/27/2023
113,1564.48,9/28/2023
100,2080.82,9/29/2023
118,2481.6,9/30/2023
136,1798.69,10/2/2023
63,953.26,10/3/2023
78,905.77,10/4/2023
52,647.66,10/5/2023
150,1991.2,10/6/2023
104,1416.74,10/7/2023
144,2523.53,10/9/2023
123,1908.09,10/10/2023
102,1310.07,10/11/2023
125,2085.53,10/12/2023
142,2514.99,10/13/2023
93,898.64,10/14/2023
168,2358.88,10/16/2023
117,1641.3,10/17/2023
144,2472.16,10/18/2023
132,2335.72,10/19/2023
156,2222.37,10/20/2023
116,1893.44,10/21/2023
137,2284.31,10/23/2023
127,2354.19,10/24/2023
160,2520.05,10/25/2023
121,1588.09,10/26/2023
131,2451.15,10/27/2023
118,1827.88,10/28/2023
123,2074.67,10/30/2023
181,2287.53,10/31/2023
98,1449.26,11/1/2023
7,59.13,11/2/2023
238,4493.79,11/3/2023
125,1581.56,11/4/2023
172,3307.59,11/6/2023
183,2929.18,11/7/2023
146,2481.4,11/8/2023
114,1745.36,11/9/2023
101,1683.84,11/10/2023
100,1740.63,11/11/2023
69,2175.37,11/13/2023
211,3323.79,11/14/2023
132,2126.93,11/15/2023
171,2958.01,11/16/2023
164,3132.18,11/17/2023
113,1516.86,11/18/2023
147,2450.39,11/20/2023
174,2909.29,11/21/2023
175,3001.04,11/22/2023
163,2702.45,11/25/2023
147,2979.51,11/27/2023
140,2474.61,11/28/2023
139,2829.19,11/29/2023
68,1245.98,11/30/2023
105,1537.2,12/1/2023
127,2627.12,12/2/2023
153,3241.97,12/4/2023
142,2170.77,12/5/2023
149,3136.11,12/6/2023
132,2597.72,12/7/2023
130,1666.54,12/8/2023
124,2886.27,12/9/2023
125,2007.68,12/11/2023
179,3187.73,12/12/2023
115,2332.28,12/13/2023
125,2073.02,12/14/2023
114,1770.43,12/15/2023
175,3054.56,12/16/2023
181,3365.75,12/18/2023
113,2426.98,12/19/2023
114,2571.71,12/20/2023
110,1985.9,12/21/2023
103,1835.52,12/22/2023
136,3646.51,12/23/2023
165,2787.31,12/26/2023
132,2165.54,12/27/2023
174,3145.79,12/28/2023
157,4979.24,12/29/2023
98,1424.62,12/30/2023
105,1436.8,1/2/2024
134,2051.07,1/3/2024
124,1732.46,1/4/2024
89,1107.13,1/5/2024
109,1526.04,1/6/2024
81,1796.64,1/8/2024
179,2903.4,1/9/2024
168,2864.25,1/10/2024
207,3876.82,1/11/2024
148,3750.79,1/12/2024
144,2595.8,1/13/2024
7,89.53,1/15/2024
39,672.93,1/16/2024
91,2036.66,1/17/2024
123,1738.31,1/18/2024
119,1976.27,1/19/2024
101,1761.77,1/20/2024
64,1127.91,1/22/2024
119,1954.67,1/23/2024
56,721.26,1/24/2024
140,3749.1,1/25/2024
121,2926.19,1/26/2024
141,3109.2,1/27/2024
163,3026.88,1/29/2024
162,3171.68,1/30/2024
111,1963.99,1/31/2024
110,2288.72,2/1/2024
149,2971.32,2/2/2024
66,1590.94,2/3/2024
170,3606.5,2/5/2024
117,2239.6,2/6/2024
101,2488.79,2/7/2024
99,2111.31,2/8/2024
125,3137.16,2/9/2024
157,4118.24,2/10/2024
136,2444.94,2/12/2024
128,2752.63,2/13/2024
114,2157.96,2/14/2024
141,3033.8,2/15/2024
143,3445.58,2/16/2024
72,1381.58,2/17/2024
177,4752.24,2/19/2024
139,2423.71,2/20/2024
