Part,BaseValue,TotalAddedValue,CompleteValue
TIE ROD END,5.365000000000002,381.745,387.11
WASHER BOTTLE,6.304922813036021,8525.181666666667,8531.486589479704
TAIL LIGHT ASSY,0.99,79.52799999999999,80.51799999999999
REAR END HOUSING BARE,29.99,94.4,124.39
LEAF SPRING,25.77125,635.41,661.18125
QUARTER GLASS,19.99,723.755,743.745
SPARE TIRE CARRIER SWING AWAY,14.99,328.69166666666666,343.6816666666667
CLOCK,4.1499999999999995,159.35999999999999,163.51
SPARK PLUG/WIRE,0.885036496350365,398.0557678571429,398.94080435349326
SEAT MOTOR,10.374615384615383,96.75999999999999,107.13461538461537
TRANSMISSION CROSS MEMBER,14.286296296296298,827.9141666666667,842.200462962963
HARMONIC BALANCER,20.665675675675676,582.64,603.3056756756756
FUEL TANK FILLER DOOR,5.506666666666669,862.3602180451128,867.8668847117794
PEDAL (EACH),5.923333333333335,395.77500000000003,401.6983333333334
PISTON AND ROD ASSY,22.24083333333333,164.3525,186.59333333333333
COIL SPRING,10.565342465753425,863.69,874.2553424657535
MOLDING ANY,0.21177685950413222,5404.2789826839835,5404.490759543488
CHARCOAL CANISTER,10.808181818181819,691.13,701.9381818181818
TRANSMISSION MOUNT,6.99,222.15000000000003,229.14000000000004
CLUTCH DISC,11.418571428571429,351.18000000000006,362.5985714285715
GRILL SMALL,9.497253886010363,7344.145,7353.642253886011
AXLE DROPOUT,39.99,175.76500000000001,215.75500000000002
BELT TENSIONER,15.9525,923.605,939.5575
HEADLAMP DOOR MOTOR,9.99,9.99,19.98
RADIO FACE,7.990000000000001,1774.5149999999999,1782.5049999999999
GAS/OIL CAP,2.24,451.3933333333333,453.6333333333333
SWITCH TURN SIGNAL,12.827499999999999,512.8000000000001,525.6275
ROCKER PANEL,30.390000000000004,207.12499999999997,237.515
WINDOW SWITCH,7.970952380952381,1071.09,1079.0609523809524
OVERFLOW BOTTLE,6.147142857142859,1121.97,1128.1171428571429
SEAT TRACK,14.656666666666668,82.69999999999999,97.35666666666665
K FRAME,49.87514851485149,1900.0800000000006,1949.955148514852
