Ranking,Vehicle Year-Model,Coefficient
4853.0,2004.0_X-TYPE,-62.173739855276736
4852.0,2001.0_CAMARO,-62.11254873677748
4851.0,1972.0_RANGER,-62.07047301067585
4850.0,1987.0_MINI RAM,-61.90900031353858
4849.0,1995.0_CUTLASS CIERA,-61.90742083281082
4848.0,2006.0_QX56,-61.8938951352294
4847.0,1989.0_BRONCO II,-61.71840870236057
4846.0,1992.0_CHEROKEE,-61.60094382931419
4845.0,2007.0_GRAND MARQUIS,-61.55841843461102
4844.0,2007.0_RENDEZVOUS,-61.430603578712756
4843.0,2013.0_MAZDA2,-61.41339308939876
4842.0,2009.0_OUTLOOK,-61.39330358049861
4841.0,2018.0_5 SERIES,-61.38896363057577
4840.0,2005.0_ACCENT,-61.3259522050469
4839.0,2000.0_Q45,-61.31901900469949
4838.0,2004.0_DISCOVERY,-61.19883998200888
4837.0,2010.0_MARINER,-61.00220118577325
4836.0,1993.0_3 SERIES,-60.808736763988854
4835.0,2006.0_XC90,-60.785099175122184
4834.0,1983.0_BRAT,-60.76425955463886
4833.0,2013.0_SORENTO,-60.738740034878184
4832.0,2000.0_EXPLORER,-60.7209419431609
4831.0,2009.0_F-150,-60.629699869171795
4830.0,2002.0_GRAND CHEROKEE,-60.598827350257835
4829.0,2002.0_DAKOTA,-60.57724186524664
4828.0,1994.0_S10,-60.5407326159686
4827.0,1999.0_LEGACY,-60.495442783409004
4826.0,2000.0_M-CLASS,-60.46778242033434
4825.0,2005.0_UPLANDER,-60.45521531196237
4824.0,2007.0_DAKOTA,-60.292888782607726
4823.0,1995.0_LHS,-60.289182853635445
4822.0,1999.0_PRIZM,-60.13197024429742
4821.0,2012.0_ALTIMA,-60.06879541742751
4820.0,2009.0_LEGACY,-60.02131327305279
4819.0,2008.0_F-150,-59.99480435676169
4818.0,2013.0_XB,-59.97980973249182
4817.0,1999.0_CHEROKEE,-59.64023241468621
4816.0,2000.0_PASSPORT,-59.511470967766165
4815.0,2008.0_MONTANA SV6,-59.47151233351978
4814.0,2010.0_G6,-59.37086214368675
4813.0,2002.0_STRATUS,-59.333770079221836
4812.0,2005.0_CENTURY,-59.31412405194439
4811.0,2004.0_RANGE ROVER,-59.28947649941382
4810.0,2004.0_VERONA,-59.115085904344035
4809.0,1997.0_BREEZE,-59.09436726150674
4808.0,2011.0_ALTIMA,-58.97631482905292
4807.0,1987.0_ACCORD,-58.9141348219185
4806.0,2005.0_ELEMENT,-58.7715785860831
4805.0,1991.0_MIRAGE,-58.689253354393905
4804.0,2011.0_MKZ,-58.574420292167815
4803.0,2009.0_FUSION,-58.5280010340028
4802.0,2016.0_CRUZE LIMITED,-58.51373416413899
4801.0,2013.0_TUCSON,-58.234747340444414
4800.0,2003.0_E-CLASS,-58.17230296685336
4799.0,1966.0_IMPALA,-58.07015886104256
4798.0,2003.0_5 SERIES,-58.06545812062677
4797.0,1991.0_LESABRE,-57.984447603919136
4796.0,2003.0_PATHFINDER,-57.98091904305696
4795.0,2011.0_3 SERIES,-57.97168396209259
4794.0,2016.0_RENEGADE,-57.812208298594804
4793.0,1999.0_LEGANZA,-57.73053877694033
4792.0,2007.0_X5,-57.67436813432218
4791.0,1997.0_CATERA,-57.64243866201471
4790.0,2000.0_DISCOVERY II,-57.51682294394975
4789.0,1997.0_CAMRY,-57.510116211897206
4788.0,1989.0_R3500,-57.50831214985015
4787.0,2003.0_CR-V,-57.465498479061885
4786.0,2010.0_3-Sep,-57.44829163892833
4785.0,2003.0_ASTRO,-57.43369116985913
4784.0,1998.0_F-250,-57.41208718054768
4783.0,2020.0_ECOSPORT,-57.219843197401154
4782.0,1994.0_COROLLA,-57.21847041343006
4781.0,2009.0_EXPLORER,-57.124482210846814
4780.0,2005.0_STRATUS,-56.87259035798592
4779.0,1993.0_323,-56.67060580483603
4778.0,2015.0_300,-56.61459514229413
4777.0,1999.0_SPORTAGE,-56.559205457939946
4776.0,2003.0_SEVILLE,-56.426917399174066
4775.0,2008.0_RIDGELINE,-56.42176531072992
4774.0,2005.0_TITAN,-56.40960886136947
4773.0,2006.0_FORENZA,-56.382423007486324
4772.0,1992.0_PATHFINDER,-56.36664522487306
4771.0,2007.0_350Z,-56.35964391215621
4770.0,2002.0_MIRAGE,-56.26703177031606
4769.0,2016.0_ESCAPE,-56.245407792274044
4768.0,2005.0_ENVOY XL,-56.23801634034359
4767.0,1998.0_XJ8,-56.21335067027353
4766.0,2002.0_CROWN VICTORIA,-56.20501391136515
4765.0,2016.0_EXPLORER,-56.119571490812866
4764.0,2007.0_CX-9,-56.062050618018716
4763.0,2000.0_DAKOTA,-56.0600272604801
4762.0,2005.0_RX-8,-56.00910423145678
4761.0,1996.0_CORSICA,-55.96506927883023
4760.0,1986.0_MONTE CARLO,-55.947040085855534
4759.0,1990.0_NEW YORKER,-55.89418971048226
4758.0,2001.0_SEQUOIA,-55.87976137143605
4757.0,1991.0_MIGHTY MAX,-55.668566997812626
4756.0,1989.0_S10,-55.09853235229438
4755.0,1993.0_QUEST,-55.06692983243809
4754.0,1992.0_MIGHTY MAX,-55.02644811452503
4753.0,2007.0_ACADIA,-54.93723172745996
4752.0,2005.0_TUCSON,-54.920162343516076
4751.0,2011.0_5 SERIES,-54.884903189053915
4750.0,2001.0_B-SERIES,-54.74289596489539
4749.0,2015.0_ARMADA,-54.696054368363264
4748.0,1992.0_TORONADO,-54.58040455530522
4747.0,2012.0_Q5,-54.494367918215225
4746.0,1996.0_RODEO,-54.44486008219926
4745.0,2004.0_3 SERIES,-54.37804895082154
4744.0,2015.0_ROGUE,-54.361130560814715
4743.0,2007.0_IS 250,-54.31331314174155
4742.0,1998.0_VILLAGER,-54.28806031566619
4741.0,2014.0_A7,-54.260079529976075
4740.0,2014.0_MAZDA2,-54.2463076490091
4739.0,1995.0_CUTLASS SUPREME,-54.24617660930265
4738.0,1978.0_FURY,-54.23139330307896
4737.0,2007.0_MAZDA6,-54.185276425209146
4736.0,1999.0_GS 300,-54.17027585278018
4735.0,2001.0_VILLAGER,-54.14334957509272
4734.0,2000.0_MOUNTAINEER,-54.11481945681963
4733.0,1999.0_SAFARI,-53.96224392829558
4732.0,1999.0_VITARA,-53.917437572892844
4731.0,2017.0_FIESTA,-53.85105126006531
4730.0,2007.0_3-Sep,-53.819286736266555
4729.0,1992.0_CENTURY,-53.66806352433666
