Vehicle Year-Model,Coefficient,Ranking
1996.0_LEGACY,-2.299593856329801,4858.0
1994.0_B-SERIES,-2.299442827310332,4857.0
1998.0_GS 300,-2.2954108656293015,4856.0
1987.0_D150 PICKUP,-2.2931951080587534,4855.0
2014.0_F-350,-2.2885767933439207,4854.0
1983.0_EL CAMINO,-2.2846433458400477,4853.0
1999.0_BRAVADA,-2.283780771315444,4852.0
1999.0_WINDSTAR,-2.282656978347151,4851.0
2004.0_SABLE,-2.2782587901061233,4850.0
2005.0_GOLF,-2.2745685472043227,4849.0
1985.0_XJ6,-2.2660717550040563,4848.0
2000.0_NEW BEETLE,-2.259335503656566,4847.0
2008.0_FRONTIER,-2.2591417885088165,4846.0
2009.0_EOS,-2.2525540800451522,4845.0
2009.0_F-150,-2.252411637061895,4844.0
1966.0_IMPALA,-2.2480045388482988,4843.0
2004.0_G35,-2.244507152423611,4842.0
1998.0_BRAVADA,-2.2438270585919082,4841.0
2008.0_MONTANA SV6,-2.2307276039818276,4840.0
1999.0_GALANT,-2.2279106712899064,4839.0
2001.0_GRAND PRIX,-2.2232371711001795,4838.0
2000.0_MILLENIA,-2.222716417431546,4837.0
2011.0_JUKE,-2.215672943946245,4836.0
1994.0_S10,-2.207237915534044,4835.0
2000.0_CAMARO,-2.204783906966598,4834.0
2017.0_ROGUE SPORT,-2.2047528605812046,4833.0
2007.0_ESCAPE HYBRID,-2.2033235612574,4832.0
2011.0_3 SERIES,-2.202057018736486,4831.0
1996.0_Q45,-2.1991930292065565,4830.0
1993.0_ES 300,-2.187812908674695,4829.0
2004.0_CONCORDE,-2.182909282571166,4828.0
1996.0_GRAND MARQUIS,-2.1800508252577253,4827.0
2015.0_500L,-2.1796027651569037,4826.0
2002.0_TACOMA,-2.178653677335106,4825.0
2012.0_IMPALA,-2.1776034039377263,4824.0
2000.0_Q45,-2.176667553883463,4823.0
1996.0_EXPLORER,-2.1764338330801394,4822.0
1990.0_CLUB WAGON,-2.1738563113545566,4821.0
2002.0_BRAVADA,-2.1725139459431992,4820.0
2012.0_COROLLA,-2.172502001540785,4819.0
2003.0_5 SERIES,-2.171998816064792,4818.0
2007.0_PILOT,-2.1692295402498765,4817.0
2007.0_A3,-2.1684174896457855,4816.0
1994.0_F-350,-2.1663527581509627,4815.0
2015.0_300,-2.164692008166569,4814.0
1998.0_RAM WAGON,-2.159209565014296,4813.0
2001.0_RX 300,-2.1529868142194704,4812.0
2013.0_ELANTRA GT,-2.152509979586186,4811.0
2010.0_AVENGER,-2.151668123868808,4810.0
2006.0_FORENZA,-2.1509586495488997,4809.0
2007.0_RANGER,-2.150369887450722,4808.0
2005.0_RX 330,-2.1454763442776676,4807.0
2019.0_FIESTA,-2.143878959713582,4806.0
1993.0_GRAND AM,-2.1429714085416274,4805.0
1989.0_TROOPER II,-2.1401198188718977,4804.0
2008.0_ENCLAVE,-2.1391851824330477,4803.0
1989.0_TEMPO,-2.1356670540015026,4802.0
2008.0_XD,-2.135484793913427,4801.0
1994.0_940 SERIES,-2.1335117168537465,4800.0
1985.0_RAM PICKUP,-2.122554241440449,4799.0
1994.0_COROLLA,-2.1210950255313383,4798.0
2002.0_CR-V,-2.1197804363746,4797.0
2016.0_EXPLORER,-2.1169206366646485,4796.0
1992.0_SENTRA,-2.1168480982380813,4795.0
2001.0_CHEROKEE,-2.1093019142884244,4794.0
2007.0_MONTEGO,-2.1079895580808534,4793.0
2002.0_BONNEVILLE,-2.1079891148699055,4792.0
1988.0_XJ6,-2.1035268585109415,4791.0
2005.0_SPORTAGE,-2.1031824246259667,4790.0
2001.0_DEVILLE,-2.102547125237409,4789.0
2017.0_GRAND CARAVAN,-2.0986792056030863,4788.0
1995.0_CUTLASS SUPREME,-2.094463096811214,4787.0
2007.0_FOCUS,-2.0895067646403698,4786.0
2000.0_LEGANZA,-2.0849317720912217,4785.0
2009.0_RX 350,-2.0814062050245496,4784.0
1987.0_CIVIC,-2.0792778772375837,4783.0
2008.0_HHR,-2.0778689022655374,4782.0
1998.0_VILLAGER,-2.0723477547544333,4781.0
2002.0_RAM PICKUP,-2.0722338803025315,4780.0
2007.0_GRAND MARQUIS,-2.0718940851904537,4779.0
1996.0_INTREPID,-2.068664735313183,4778.0
1997.0_GALANT,-2.0686318471692973,4777.0
1990.0_ESCORT,-2.0618594719928915,4776.0
2011.0_X5,-2.0547439530169007,4775.0
2006.0_QX56,-2.05436775600095,4774.0
2003.0_GRAND CHEROKEE,-2.0477592349025087,4773.0
2004.0_ELEMENT,-2.046076238654921,4772.0
2007.0_STS,-2.0420678700200963,4771.0
2008.0_XC70,-2.041975003632104,4770.0
1999.0_SIERRA,-2.0411328330316847,4769.0
1997.0_CIVIC,-2.0328382318311937,4768.0
1998.0_PASSAT,-2.0269046335106506,4767.0
1993.0_TOWN & COUNTRY,-2.023764681081638,4766.0
2005.0_ALTIMA,-2.0203174572659552,4765.0
1995.0_RANGER,-2.019326158411055,4764.0
2008.0_EXPLORER,-2.016893270178531,4763.0
2000.0_GRAND PRIX,-2.016818413897766,4762.0
2011.0_ENDEAVOR,-2.0018114972088648,4761.0
1990.0_NEW YORKER,-2.0008325185499003,4760.0
1996.0_ELDORADO,-2.0008165149225636,4759.0
2007.0_CL-CLASS,-1.9989744796040245,4758.0
2010.0_S80,-1.9971291968053224,4757.0
1992.0_SABLE,-1.9963630429555288,4756.0
2001.0_CABRIO,-1.9940778152624896,4755.0
2021.0_COROLLA,-1.9917956986087775,4754.0
2005.0_CANYON,-1.9894280089954646,4753.0
2002.0_S10,-1.9887569716106852,4752.0
2007.0_G35X,-1.983490172711188,4751.0
2006.0_CROWN VICTORIA,-1.980829577611432,4750.0
2007.0_TOWN CAR,-1.9791543492654728,4749.0
1989.0_PICKUP,-1.9757998213589099,4748.0
1999.0_S70,-1.9706150162295393,4747.0
1997.0_Q45,-1.96722177303169,4746.0
2014.0_TOWN & COUNTRY,-1.9580018291772674,4745.0
2000.0_CIVIC,-1.952351757845235,4744.0
2004.0_CLASSIC,-1.9518813458562634,4743.0
2004.0_ES 330,-1.95180247858182,4742.0
2004.0_E-CLASS,-1.9490381607952947,4741.0
1997.0_ECONOLINE,-1.943362206635173,4740.0
2004.0_TOWN CAR,-1.941522752778852,4739.0
1980.0_240,-1.935061308846334,4738.0
1994.0_LS 400,-1.9339648418838944,4737.0
2008.0_SABLE,-1.9329520031689682,4736.0
1993.0_SONOMA,-1.9203884800855369,4735.0
2007.0_RENDEZVOUS,-1.919721145804298,4734.0
2005.0_CAVALIER,-1.9196495588559725,4733.0
1988.0_3 SERIES,-1.9196431631329158,4732.0
1997.0_S SERIES,-1.9176821221644285,4731.0
2008.0_7 SERIES,-1.9077868091868566,4730.0
1987.0_300,-1.9064382489671146,4729.0
1999.0_GS 400,-1.9047098195354095,4728.0
1991.0_S10,-1.8981905203190195,4727.0
2008.0_X5,-1.8962902466498832,4726.0
1994.0_GS 300,-1.895782832441419,4725.0
1982.0_NINETY EIGHT,-1.893510270587788,4724.0
2021.0_RAV4,-1.892277559348915,4723.0
2002.0_DAKOTA,-1.8836077331291845,4722.0
1986.0_MONTE CARLO,-1.8825486735847876,4721.0
2017.0_GTI,-1.8810395226889296,4720.0
2017.0_SPARK,-1.8748015662040047,4719.0
1998.0_F-250,-1.8738653498669429,4718.0
2011.0_E-CLASS,-1.8695176729045258,4717.0
1990.0_NINETY EIGHT,-1.8652351677800023,4716.0
2005.0_YUKON,-1.8643601145336954,4715.0
2003.0_ESCALADE,-1.8639849094588026,4714.0
2005.0_ASTRO,-1.8630656254394786,4713.0
2008.0_TC,-1.8476796381048746,4712.0
2007.0_G5,-1.8448197951132803,4711.0
2012.0_Q5,-1.8387786500334053,4710.0
2006.0_RIO,-1.8362401707845637,4709.0
2011.0_ALTIMA,-1.8250686658633228,4708.0
